sex,race,age,HH,HU,HD,UH,UU,UD
f,black,50,0.94119604,0.056585239999999995,0.0022187199999999995,0.14226052,0.8410982400000001,0.01664124
f,black,51,0.9387031,0.058866680000000025,0.00243022,0.14193784000000004,0.84039001,0.017672149999999998
f,black,52,0.9361053699999999,0.06123281000000002,0.00266182,0.14160665999999997,0.83962763,0.01876571
f,black,53,0.9333984593339846,0.06368611063686112,0.002915430029154302,0.1412664814126648,0.8388079583880796,0.019925560199255597
f,black,54,0.93057782,0.06622904999999998,0.003193129999999999,0.14091679859083206,0.8379276416207235,0.0211555597884444
f,black,55,0.927638700723613,0.06886410931135889,0.0034971899650280995,0.14055705,0.8369832100000001,0.022459739999999995
f,black,56,0.9245761992457621,0.0715937207159372,0.003830080038300798,0.14018667,0.8359709699999999,0.023842359999999993
f,black,57,0.92138513,0.07442033999999997,0.00419453,0.13980506139805066,0.8348870483488705,0.025307890253078908
f,black,58,0.91806016,0.07734634000000006,0.004593500000000002,0.13941159000000003,0.83372738,0.02686103
f,black,59,0.9145957,0.08037407000000002,0.005030229999999999,0.139005601390056,0.8324877083248772,0.028506690285066905
f,black,60,0.91098594,0.08350580999999997,0.00550825,0.13858640000000003,0.83116355,0.030250049999999997
f,black,61,0.90722484,0.08674373999999999,0.006031419999999997,0.13815327,0.82975024,0.032096490000000005
f,black,62,0.9033061,0.09008995000000002,0.006603950000000001,0.13770545,0.82824286,0.034051689999999996
f,black,63,0.89922317,0.09354640000000004,0.007230430000000005,0.13724215999999997,0.8266363,0.03612154000000001
f,black,64,0.8949692200000001,0.09711490999999994,0.007915869999999997,0.13676257863237418,0.8249251917507482,0.0383122296168777
f,black,65,0.8905371710946284,0.10079710899202893,0.008665719913342805,0.13626585863734142,0.8231039717689603,0.0406301695936983
f,black,66,0.8859196588591967,0.10459442104594423,0.009485920094859202,0.13575111000000004,0.82116683,0.04308206000000001
f,black,67,0.8811089900000001,0.10850807,0.010382940000000002,0.13521741999999998,0.8191077000000001,0.045674879999999994
f,black,68,0.87609722,0.11253896000000001,0.011363820000000004,0.13466384000000006,0.81692032,0.04841584000000001
f,black,69,0.87087609,0.11668772000000001,0.012436190000000005,0.13408937865910628,0.8145981718540183,0.05131244948687551
f,black,70,0.8654370100000001,0.12095462000000003,0.01360837000000001,0.13349302000000002,0.81213453,0.05437245000000002
f,black,71,0.85977112,0.12533952,0.014889359999999999,0.13287373000000002,0.8095224200000001,0.05760384999999999
f,black,72,0.8538691900000001,0.12984185999999998,0.016288949999999993,0.13223042,0.80675467,0.061014909999999985
f,black,73,0.84772173,0.13446055000000004,0.017817720000000002,0.13156199131561988,0.8038239080382391,0.064614100646141
f,black,74,0.84131891,0.13919396999999997,0.019487119999999993,0.13086732,0.80072253,0.06841015
f,black,75,0.8346506,0.14403985,0.021309550000000003,0.13014526,0.7974428,0.07241193999999998
f,black,76,0.82770639,0.14899526000000005,0.023298350000000002,0.12939463870605364,0.7939767920602321,0.07662856923371433
f,black,77,0.82047557,0.15405648999999996,0.025467940000000005,0.12861427000000003,0.79031646,0.08106927000000003
f,black,78,0.8129471899999999,0.15921899999999994,0.02783380999999999,0.12780295000000003,0.78645362,0.08574343000000001
f,black,79,0.8051100819488992,0.1644773183552269,0.03041259969587401,0.12695948999999998,0.7823800199999998,0.09066049
f,black,80,0.7969528699999999,0.16982497999999993,0.03322214999999999,0.12608267126082673,0.7780873577808736,0.09582997095829973
f,black,81,0.78846403,0.17525443999999998,0.03628152999999999,0.12517131000000004,0.7735673,0.10126139000000002
f,black,82,0.77963196,0.18075693,0.03961111,0.12422420999999997,0.76881155,0.10696424
f,black,83,0.77044502,0.18632245,0.043232530000000005,0.12324020999999999,0.7638119,0.11294789
f,black,84,0.76089164,0.19193958000000005,0.04716878000000001,0.12221815877781841,0.7585602524143975,0.1192215888077841
f,black,85,0.75096039,0.19759544999999998,0.051444159999999996,0.12115695999999997,0.7530487000000001,0.12579433999999998
f,black,86,0.74064012,0.20327564,0.05608424,0.12005555000000001,0.7472695800000001,0.13267487
f,black,87,0.7299200600000001,0.20896406999999997,0.06111586999999999,0.11891293000000003,0.74121554,0.13987153000000002
f,black,88,0.7187900028121,0.2146429078535709,0.0665670893343291,0.11772818000000002,0.73487961,0.14739221
f,black,89,0.7072404600000001,0.22029255,0.07246699,0.1165004288349957,0.7282552827174472,0.15524428844755714
f,black,90,0.6952628469526286,0.22589151225891507,0.07884564078845639,0.11522891999999998,0.7213366,0.16343448
f,black,91,0.6828497,0.23141643999999997,0.08573386,0.11391298999999999,0.7141182,0.17196881
f,black,92,0.6699949533000504,0.2368420576315794,0.09316298906837012,0.11255211,0.70659545,0.18085244
f,black,93,0.65669418,0.24214118,0.10116464000000001,0.11114586111145862,0.6987645069876451,0.19008963190089634
f,black,94,0.64294485,0.24728478999999998,0.10977036,0.10969397000000003,0.69062241,0.19968362
f,black,95,0.62874669,0.25224211,0.11901119999999997,0.10819633999999999,0.68216718,0.20963648
f,black,96,0.61410195,0.25698073,0.12891732,0.10665301999999999,0.67339789,0.21994909
f,black,97,0.5990158,0.26146679,0.13951741,0.10506424999999998,0.66431477,0.23062098000000003
f,black,98,0.58349658,0.26566526,0.15083816,0.10343046000000002,0.65491928,0.24165026
f,black,99,0.56755621,0.2695402,0.16290359,0.10175229999999999,0.6452141699999999,0.25303353
f,black,100,0.5566560055047773,0.2757526879902005,0.16759130650502213,0.10003204299551983,0.6352126730448849,0.26475528395959524
f,black,101,0.5409198099272332,0.2795013682777684,0.17957882179499837,0.09826810927470368,0.624903517063318,0.27682837366197827
f,black,102,0.5249181147166417,0.28291814876991855,0.19216373651343968,0.09646303317055523,0.6143015852171037,0.2892353816123411
f,black,103,0.5086791173028372,0.28597716210313534,0.20534372059402747,0.09461834438955175,0.6034154425332096,0.30196621307723875
f,black,104,0.4922339583038793,0.2886537543524501,0.21911228734367066,0.09273580571801714,0.5922551950368895,0.31500899924509346
f,black,105,0.4756165874980036,0.29092485550392605,0.23345855699807044,0.09081741257373985,0.5808324977144668,0.3283500897117933
f,black,106,0.4588635705991186,0.29276935149641453,0.24836707790446674,0.08886539000172147,0.5691605461279979,0.34197406387028056
f,black,107,0.4420138360520141,0.29416844873306236,0.26381771521492353,0.08688218698696985,0.5572540507029355,0.3558637623100946
f,black,108,0.42510836298074606,0.2951060212919714,0.2797856157272826,0.08487046800305799,0.5451291929938644,0.3700003390030776
f,black,109,0.40818981350456607,0.29556893074344404,0.2962412557519899,0.08283310176686802,0.5328035635589763,0.3843633346741558
f,black,110,0.39130211478627236,0.2955473085668065,0.31315057664692114,0.08077314722631794,0.520296081433903,0.3989307713397791
