sex,measure,age,HH,HU,HD,UH,UU,UD
f,ADL,50,0.9903,0.008176,0.001511,0.3154,0.6692,0.01543
f,ADL,51,0.9895,0.008822,0.001653,0.3085,0.6748,0.01661
f,ADL,52,0.9887,0.00952,0.001808,0.3017,0.6804,0.01788
f,ADL,53,0.9878,0.01027,0.001978,0.295,0.6858,0.01923
f,ADL,54,0.9868,0.01108,0.002164,0.2883,0.691,0.02069
f,ADL,55,0.9857,0.01195,0.002367,0.2817,0.696,0.02225
f,ADL,56,0.9845,0.0129,0.002589,0.2752,0.7009,0.02392
f,ADL,57,0.9833,0.01391,0.002831,0.2687,0.7056,0.0257
f,ADL,58,0.9819,0.015,0.003096,0.2623,0.7101,0.02762
f,ADL,59,0.9804,0.01618,0.003385,0.256,0.7144,0.02966
f,ADL,60,0.9789,0.01744,0.003701,0.2497,0.7184,0.03184
f,ADL,61,0.9772,0.0188,0.004045,0.2435,0.7223,0.03418
f,ADL,62,0.9753,0.02027,0.004421,0.2374,0.7259,0.03667
f,ADL,63,0.9733,0.02185,0.004831,0.2314,0.7293,0.03933
f,ADL,64,0.9712,0.02354,0.005278,0.2254,0.7324,0.04217
f,ADL,65,0.9689,0.02536,0.005766,0.2195,0.7353,0.04519
f,ADL,66,0.9664,0.02732,0.006297,0.2137,0.7379,0.04842
f,ADL,67,0.9637,0.02942,0.006876,0.2079,0.7402,0.05185
f,ADL,68,0.9608,0.03168,0.007507,0.2022,0.7423,0.05551
f,ADL,69,0.9577,0.0341,0.008193,0.1966,0.744,0.05939
f,ADL,70,0.9544,0.0367,0.00894,0.1911,0.7454,0.06353
f,ADL,71,0.9508,0.03949,0.009753,0.1856,0.7465,0.06792
f,ADL,72,0.9469,0.04247,0.01064,0.1802,0.7472,0.07258
f,ADL,73,0.9427,0.04567,0.01159,0.1749,0.7476,0.07752
f,ADL,74,0.9383,0.04909,0.01264,0.1697,0.7476,0.08276
f,ADL,75,0.9335,0.05274,0.01377,0.1645,0.7472,0.0883
f,ADL,76,0.9284,0.05665,0.01499,0.1594,0.7464,0.09417
f,ADL,77,0.9229,0.06081,0.01632,0.1544,0.7453,0.1004
f,ADL,78,0.917,0.06526,0.01775,0.1494,0.7437,0.1069
f,ADL,79,0.9107,0.06999,0.01931,0.1445,0.7416,0.1138
f,ADL,80,0.904,0.07503,0.02098,0.1397,0.7391,0.1211
f,ADL,81,0.8968,0.08039,0.0228,0.135,0.7362,0.1288
f,ADL,82,0.8892,0.08608,0.02475,0.1303,0.7328,0.1369
f,ADL,83,0.881,0.09212,0.02685,0.1258,0.7289,0.1453
f,ADL,84,0.8724,0.0985,0.02911,0.1213,0.7245,0.1542
f,ADL,85,0.8632,0.1053,0.03154,0.1168,0.7196,0.1635
f,ADL,86,0.8535,0.1124,0.03415,0.1125,0.7143,0.1733
f,ADL,87,0.8431,0.1199,0.03694,0.1082,0.7084,0.1834
f,ADL,88,0.8322,0.1278,0.03993,0.104,0.7019,0.1941
f,ADL,89,0.8207,0.1361,0.04312,0.09989,0.695,0.2051
f,ADL,90,0.8086,0.1449,0.04652,0.09585,0.6875,0.2166
f,ADL,91,0.7959,0.154,0.05013,0.09189,0.6795,0.2286
f,ADL,92,0.7825,0.1635,0.05397,0.08802,0.671,0.241
f,ADL,93,0.7685,0.1734,0.05804,0.08423,0.662,0.2538
f,ADL,94,0.7539,0.1837,0.06235,0.08053,0.6524,0.267
f,ADL,95,0.7387,0.1944,0.06689,0.07691,0.6424,0.2807
f,ADL,96,0.7229,0.2055,0.07167,0.07338,0.6319,0.2947
f,ADL,97,0.7064,0.2169,0.0767,0.06994,0.6209,0.3092
f,ADL,98,0.6895,0.2286,0.08197,0.06659,0.6094,0.324
f,ADL,99,0.6719,0.2406,0.08747,0.06334,0.5976,0.3391
f,ADL,100,0.6539,0.2529,0.09322,0.06017,0.5853,0.3546
f,ADL,101,0.6355,0.2654,0.09919,0.0571,0.5726,0.3703
f,ADL,102,0.6166,0.2781,0.1054,0.05413,0.5595,0.3863
f,ADL,103,0.5973,0.2909,0.1118,0.05125,0.5462,0.4026
f,ADL,104,0.5777,0.3039,0.1184,0.04847,0.5325,0.419
f,ADL,105,0.5579,0.3169,0.1252,0.04579,0.5186,0.4356
f,ADL,106,0.5379,0.33,0.1322,0.0432,0.5044,0.4524
f,ADL,107,0.5177,0.343,0.1393,0.04071,0.4901,0.4692
f,ADL,108,0.4975,0.356,0.1466,0.03832,0.4756,0.4861
f,ADL,109,0.4772,0.3688,0.154,0.03603,0.461,0.503
f,ADL,110,0.4571,0.3815,0.1615,0.03384,0.4463,0.5199
f,IADL,50,0.9823,0.01553,0.002133,0.5284,0.4621,0.009564
f,IADL,51,0.9814,0.01628,0.002302,0.5101,0.4793,0.01064
f,IADL,52,0.9804,0.01707,0.002485,0.4917,0.4965,0.01182
f,IADL,53,0.9794,0.01789,0.002681,0.4733,0.5135,0.01311
f,IADL,54,0.9784,0.01875,0.002893,0.455,0.5304,0.01453
f,IADL,55,0.9772,0.01966,0.003122,0.4368,0.5471,0.01607
f,IADL,56,0.976,0.0206,0.003368,0.4187,0.5635,0.01776
f,IADL,57,0.9748,0.02159,0.003634,0.4008,0.5796,0.01959
f,IADL,58,0.9735,0.02262,0.00392,0.3831,0.5953,0.02158
f,IADL,59,0.9721,0.02371,0.004228,0.3657,0.6106,0.02373
f,IADL,60,0.9706,0.02484,0.004561,0.3486,0.6254,0.02607
f,IADL,61,0.9691,0.02602,0.004919,0.3318,0.6396,0.0286
f,IADL,62,0.9674,0.02726,0.005305,0.3154,0.6533,0.03133
f,IADL,63,0.9657,0.02856,0.00572,0.2994,0.6664,0.03427
f,IADL,64,0.9639,0.02991,0.006168,0.2838,0.6788,0.03745
f,IADL,65,0.962,0.03132,0.00665,0.2687,0.6905,0.04085
f,IADL,66,0.96,0.0328,0.007168,0.254,0.7015,0.04451
f,IADL,67,0.9579,0.03434,0.007727,0.2399,0.7117,0.04844
f,IADL,68,0.9557,0.03595,0.008327,0.2262,0.7212,0.05264
f,IADL,69,0.9534,0.03764,0.008974,0.213,0.7298,0.05714
f,IADL,70,0.9509,0.03939,0.009669,0.2004,0.7377,0.06194
f,IADL,71,0.9484,0.04122,0.01042,0.1883,0.7447,0.06707
f,IADL,72,0.9456,0.04313,0.01122,0.1767,0.7508,0.07253
f,IADL,73,0.9428,0.04513,0.01208,0.1656,0.7561,0.07833
f,IADL,74,0.9398,0.0472,0.01301,0.155,0.7605,0.08451
f,IADL,75,0.9366,0.04936,0.01401,0.1449,0.764,0.09106
f,IADL,76,0.9333,0.05162,0.01508,0.1353,0.7667,0.098
f,IADL,77,0.9298,0.05396,0.01623,0.1262,0.7684,0.1053
f,IADL,78,0.9261,0.0564,0.01746,0.1176,0.7693,0.1131
f,IADL,79,0.9223,0.05894,0.01878,0.1094,0.7692,0.1213
