country,sex,measure,age,HH,HU,HD,UH,UU,UD,version
Italy,female,ADL,50,0.9943,0.005043,6.733e-4,0.4279,0.5667,0.005341,1
Italy,female,ADL,51,0.9937,0.005554,7.606e-4,0.4157,0.5784,0.005903,1
Italy,female,ADL,52,0.993,0.006116,8.591e-4,0.4036,0.5899,0.00652,1
Italy,female,ADL,53,0.9923,0.006735,9.704e-4,0.3915,0.6013,0.007197,1
Italy,female,ADL,54,0.9915,0.007416,0.001096,0.3796,0.6125,0.00794,1
Italy,female,ADL,55,0.9906,0.008165,0.001238,0.3678,0.6235,0.008753,1
Italy,female,ADL,56,0.9896,0.008989,0.001398,0.3561,0.6342,0.009643,1
Italy,female,ADL,57,0.9885,0.009895,0.001578,0.3446,0.6448,0.01062,1
Italy,female,ADL,58,0.9873,0.01089,0.001781,0.3332,0.6551,0.01168,1
Italy,female,ADL,59,0.986,0.01199,0.002011,0.322,0.6651,0.01285,1
Italy,female,ADL,60,0.9845,0.01319,0.00227,0.311,0.67490000000000006,0.01412,1
Italy,female,ADL,61,0.9829,0.01451,0.002561,0.3002,0.6843,0.0155,1
Italy,female,ADL,62,0.9811,0.01596,0.00289,0.2895,0.6935,0.01701,1
Italy,female,ADL,63,0.9792,0.01755,0.00326,0.2791,0.7023,0.01866,1
Italy,female,ADL,64,0.977,0.0193,0.003677,0.2688,0.7107,0.02045,1
Italy,female,ADL,65,0.9746,0.02122,0.004146,0.2588,0.7188,0.0224,1
Italy,female,ADL,66,0.972,0.02332,0.004673,0.249,0.7265,0.02452,1
Italy,female,ADL,67,0.9691,0.02562,0.005266,0.2394,0.7338,0.02682,1
Italy,female,ADL,68,0.9659,0.02814,0.005933,0.23,0.7407,0.02932,1
Italy,female,ADL,69,0.9624,0.0309,0.006682,0.2208,0.7472,0.03203,1
Italy,female,ADL,70,0.9586,0.03391,0.007523,0.2118,0.7532,0.03496,1
Italy,female,ADL,71,0.9543,0.03721,0.008465,0.2031,0.7587,0.03814,1
Italy,female,ADL,72,0.9497,0.0408,0.009522,0.1946,0.7638,0.04158,1
Italy,female,ADL,73,0.9446,0.04472,0.01071,0.1864,0.7683,0.0453,1
Italy,female,ADL,74,0.939,0.04899,0.01203,0.1783,0.7724,0.04932,1
Italy,female,ADL,75,0.9329,0.05364,0.01351,0.1705,0.7759,0.05365,1
Italy,female,ADL,76,0.9262,0.05868,0.01516,0.1629,0.7788,0.05832,1
Italy,female,ADL,77,0.9188,0.06416,0.017,0.1555,0.7811,0.06336,1
Italy,female,ADL,78,0.9109,0.07009,0.01905,0.1483,0.7829,0.06877,1
Italy,female,ADL,79,0.9022,0.0765,0.02132,0.1414,0.784,0.07458,1
Italy,female,ADL,80,0.8927,0.08342,0.02385,0.1347,0.7845,0.08082,1
Italy,female,ADL,81,0.8825,0.09087,0.02665,0.1282,0.7843,0.08751,1
Italy,female,ADL,82,0.8714,0.09888,0.02974,0.1218,0.7835,0.09467,1
Italy,female,ADL,83,0.8594,0.1075,0.03316,0.1157,0.7819,0.1023,1
Italy,female,ADL,84,0.8464,0.1166,0.03691,0.1098,0.7797,0.1105,1
Italy,female,ADL,85,0.8325,0.1264,0.04104,0.1042,0.7767,0.1192,1
Italy,female,ADL,86,0.8176,0.1368,0.04556,0.09865,0.7729,0.1285,1
Italy,female,ADL,87,0.8017,0.1478,0.05049,0.09335,0.7683,0.1383,1
Italy,female,ADL,88,0.7847,0.1595,0.05586,0.08824,0.763,0.1487,1
Italy,female,ADL,89,0.7666,0.1717,0.06169,0.08331,0.7569,0.1598,1
Italy,female,ADL,90,0.7475,0.1845,0.06799,0.07857,0.75,0.1715,1
Italy,female,ADL,91,0.7274,0.1978,0.07478,0.07401,0.7422,0.1838,1
Italy,female,ADL,92,0.7063,0.2117,0.08207,0.06963,0.7336,0.1967,1
Italy,female,ADL,93,0.6842,0.226,0.08987,0.06543,0.7242,0.2103,1
Italy,female,ADL,94,0.6612,0.2407,0.09816,0.0614,0.714,0.2246,1
Italy,female,ADL,95,0.6374,0.2557,0.107,0.05754,0.703,0.2395,1
Italy,female,ADL,96,0.6129,0.2709,0.1163,0.05384,0.6912,0.255,1
Italy,female,ADL,97,0.5877,0.2863,0.126,0.05032,0.6786,0.2711,1
Italy,female,ADL,98,0.5621,0.3017,0.1362,0.04695,0.6652,0.2878,1
Italy,female,ADL,99,0.5361,0.3171,0.1468,0.04374,0.6512,0.3051,1
Italy,female,ADL,100,0.5098,0.3323,0.1579,0.04069,0.6364,0.3229,1
Italy,female,ADL,101,0.4835,0.3473,0.1692,0.03779,0.621,0.3412,1
Italy,female,ADL,102,0.4572,0.3619,0.1809,0.03504,0.6049,0.36,1
Italy,female,ADL,103,0.4311,0.3761,0.1928,0.03244,0.5884,0.3792,1
Italy,female,ADL,104,0.4054,0.3897,0.2049,0.02998,0.5713,0.3988,1
Italy,female,ADL,105,0.3801,0.4027,0.2172,0.02766,0.5537,0.4186,1
Italy,female,ADL,106,0.3555,0.415,0.2296,0.02548,0.5358,0.4387,1
Italy,female,ADL,107,0.3315,0.4265,0.242,0.02342,0.5176,0.4589,1
Italy,female,ADL,108,0.3084,0.4372,0.2544,0.0215,0.4992,0.4793,1
Italy,female,ADL,109,0.2861,0.447,0.2668,0.0197,0.4806,0.4997,1
Italy,female,ADL,110,0.2648,0.456,0.2792,0.01802,0.4619,0.5201,1
Italy,female,ADL,111,0.2446,0.464,0.2914,0.01646,0.4431,0.5404,1
Italy,female,ADL,112,0.2254,0.4711,0.3035,0.015,0.4244,0.5606,1
Italy,female,ADL,113,0.2072,0.4774,0.3154,0.01366,0.4058,0.5805,1
Italy,female,ADL,114,0.1901,0.4827,0.3272,0.01241,0.3874,0.6002,1
Italy,female,ADL,115,0.1741,0.4872,0.3387,0.01126,0.3692,0.6195,1
Italy,female,ADL,116,0.1592,0.4908,0.35,0.0102,0.3514,0.6384,1
Italy,female,ADL,117,0.1453,0.49370000000000003,0.361,0.009221,0.3339,0.6569,1
Italy,female,ADL,118,0.1324,0.4957,0.3719,0.008326,0.3167,0.67490000000000006,1
Italy,female,ADL,119,0.1205,0.4971,0.3825,0.007507,0.3,0.6925,1
Italy,female,ADL,120,0.1095,0.4977,0.3928,0.00676,0.2838,0.7094,1
Italy,female,SRH,50,0.9284,0.07089,6.906e-4,0.293,0.7057,0.001284,1
Italy,female,SRH,51,0.9248,0.07443,7.621e-4,0.2826,0.7159,0.001461,1
